Column Name,Content,year
Requirements Engineering,"Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s)  College/graduate Graduate School of Informatics Lecturer(s) Is part of The success of a software system depends on the proper interpretation and analysis of user needs. Experience shows that it is extremely difficult to adequately define and specify a system. The perception of customers and users on the problem is often incomplete, inaccurate and changes over time. Knowledge is hard to express and to transfer. During this course you will understand why user needs are so hard to express, capture and understand. You will also learn the shortcomings of best practices like scrum, prototyping, interviewing and use cases. Furthermore you will learn about data-driven methods for requirements engineering like Contextual Design. Requirements methods and techniques will be discussed during the lectures. If feasible the whole student group will collaborate in one real life requirements project based on the method of contextual design. Next to specific RE literature we will also study literature from psychology, law, philosophy and cognitive science to get a better understanding of the subject. Finally students will design and do an experiment to show the inherent weakness of requirements best practices, like the use of prototyping for requirement validation. This will be done from the perspective of human factors. Knowledge of requirement engineering, for example books of Sommerville, Robertson, van Lamsweerde, Wiegers or Pohl. 'Modeling techniques', e.g. UML diagrams to describe software behoviour. Registration is required viahttps://www.sis.uva.nluntil four weeks before the start of the semester. Lecture, seminar and computer lab. Thinking, fast and slow, Kahneman Reading tests, paper and lab work. Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2 Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) drs. H.L. Dekkers (co-ordinator) Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   drs. H.L. Dekkers (co-ordinator) Software Engineering",2014-2015
Preparation Masterproject Software Engineering,"Course catalogue number 5364PRMS6Y Credits 6 EC Language of instruction English Entry requirements For part-time (2 year students): all other courses in the program have been passed. For full-time (1 year students): To continue with the Master’s project preparation in the second semester (January), all courses of the first semester have to be passed. Time period(s)   College/graduate Graduate School of Informatics Lecturer(s) Is part of The objective of the course is teaching the skills needed to successfully complete the Master’s (graduation) project. In summary these skills are: During paper sessions you learn skills to find, read and assess relevant scientific publications. You will also learn to build argumentation structures you need for your theory and analysis. For your graduation you can choose from a number of defined themes. In exceptional cases it is possible to define a project yourself. A tutor will help you during the preparation. You will also discuss your ideas with other students. Registration is required viahttps://www.sis.uva.nluntil four weeks before the start of the semester. This is a mixed theoretical and practical course. The format is aimed at exercising skills needed to complete the Master’s project. There are interactive sessions where scientific reading, writing, research design, and presentation skills are covered. Study materials are made available through the course’s BlackBoard page. The student can pass the course by getting approval by a lecturer (tutor) for two deliverables: Course catalogue number 5364PRMS6Y Credits 6 EC Language of instruction English Entry requirements For part-time (2 year students): all other courses in the program have been passed. For full-time (1 year students): To continue with the Master’s project preparation in the second semester (January), all courses of the first semester have to be passed. Time period(s) Sem. 1Sem. 2 Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. M. Bruntinkdrs. H.L. Dekkersprof. dr. D.J.N. van Eijckdr. T. van der Stormdr. S.F.M van Vlijmendr. V.V. Zaytsev (co-ordinator) Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   dr. M. Bruntink drs. H.L. Dekkers prof. dr. D.J.N. van Eijck dr. T. van der Storm dr. S.F.M van Vlijmen dr. V.V. Zaytsev (co-ordinator) Software Engineering Problem analysis, Scientific literature survey, Theory building, Hypothesizing, Structuring research and validation, Project planning, Scientific reporting. An interest in reading and writing scientific literature. Affinity with reading and writing English text. Knowledge of current challenges and results in software engineering. Plan for the Masters project, Survey of related literature.",2014-2015
Software Process,"Course catalogue number 5364SOPR6Y Credits 6 EC Language of instruction English Time period(s)  College/graduate Graduate School of Informatics Lecturer(s) Is part of During this course you will come to understand why big software engineering projects are prone to failure. You will come to understand how performance is influenced at different levels: that of the individual software engineer, the team and the whole organization. You will learn about motivation, competences, and the crucial role of culture. Also you will learn about organizational paradigms and control mechanisms, quality paradigms, and the role of planning and design in a world that is volatile and of which a lot is unknown. As software engineering is a special kind of organization, you will also learn how effective our best practices are. With this knowledge you will be able to understand why a method like RUP or Scrum is sometimes successful and sometimes not. You will also come to assess such a method and better be able to use it in such a way to improve overall project performance. Developing large scale software systems is challenging for many reasons. We work from a set of requirements that are ambiguous and incomplete, may be invalid and are subject to change. It’s hard to determine the quality and doneness of (intermediate) deliverables like designs, plans and code. We have to coordinate up to 1.000 software engineers with imperfect mechanisms for separation of concerns. To be able to understand reasons for software project failure we study failed projects. We learn about organizational control mechanisms and look at theory from social sciences notably motivation, empowerment, effective teams and coordination strategies. Last but not least we look at what we can learn from the quality community: Lean, CMMi, TQM, Kaizen. We will also examine evidence about the practices we apply in software engineering, like test first, pair programming, software architecture. Knowledge of software methods like Rup, Scrum, Xp and software practices like pair programming, test first. Experience with working in big projects. Lecture, work groups, seminar. Andy Oram, Greg Wilson'Making Software:What Really Works, and Why We Believe It'. Reading tests, essay and lab work. Course catalogue number 5364SOPR6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2 Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) drs. H.L. Dekkers (co-ordinator) Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   Registration is   required viahttps://www.sis.uva.nlbefore the start of the semester. Please   visit the website of your programme throughhttp://student.uva.nland check   the A-Z list ’Course and Exam Registration’ for more information. drs. H.L. Dekkers (co-ordinator) Software Engineering",2014-2015
Software Construction,"Course catalogue number 5364SOCO6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Is part of The course focuses on methods and techniques of software construction. This primarily covers the programming and implementation activities of a software engineering project. Examples of such activities are coding and debugging, detailed design, unit testing, code reviews, optimization, component integration and code generation. The course has two main objectivea: In the practical course students will implement a Domain-Specific Language (DSL). This involves both language engineering aspects (parsing, type checking, interpretation etc.) as well as a substantial amount of programming and discussion. The code will be reviewed based on aspects of code quality, simplicity, readability, modularity, separation of concerns and consistency of style. Lectures will provide the required background on DSLs, model-driven engineering (MDE), compiler theory, generative programming, code quality, ""Don't-Repeat-Yourself"" (DRY), code smells and design patterns. Additional academic literature covers subjects such as design-by-contract, SOLID principles, data abstraction, modularity, hierarchy and object-oriented frameworks. Students are required to complete a take home exam based on the academic literature, so as to show they master concepts and practices relevant for high quality software construction. Technical mastery of one or more object-oriented programming languages (e.g., Java, C#, etc.). Lectures, workshops and computer lab. Required reading (tentative): Crista Lopes, 'Exercises in Programming Styles'. Syllabus of landmark papers on topics in software construction. 60 Successful completion of the take home exam, final grade based on submitted code. Course catalogue number 5364SOCO6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. T. van der Storm (co-ordinator)dr. J.J. Vinju Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   Registration is   required viahttps://www.sis.uva.nlbefore the start of the semester. Please   visit the website of your programme throughhttp://student.uva.nland check   the A-Z list ’Course and Exam Registration’ for more information. dr. T. van der Storm (co-ordinator) dr. J.J. Vinju Software Engineering Inform students about the area of software language engineering: how to employ model-driven and language-driven approaches in software construction. This is includes basic theory of compiler construction. Actively engage students to reason about and reflect upon aspect of design, code quality, and software construction methods.",2014-2015
Masterproject Software Engineering,"Course catalogue number 5364MAS18Y Credits 18 EC Language of instruction English Entry requirements For part-time (2 year) students: all other courses in the program have been passed, and the course Preparation Masterproject Software Engineering has been passed. For full-time (1 year) students: All courses of the first semester and the first block of the second semester have been passed. The course Preparation Masterproject Software Engineering also has been passed. Time period(s)  College/graduate Graduate School of Informatics Lecturer(s) Is part of Carry out the research as proposed by the plan you made in the preparation phase. A lecturer (tutor) will be available for weekly feedback and discussion. Part time students will need to free time to work at least two month full time on their research. In order to start the Master’s project you need to have approval from a lecturer (tutor) on your project plan and related literature survey. Registration is NOT required but will be done by the Servicedesk of the ESC after the completion of the Master Project. The Master’s project consists of a software engineering-themed research assignment (an internship) at either a company or a research institution. Blackboard Scientific literature Course catalogue number 5364MAS18Y Credits 18 EC Language of instruction English Entry requirements For part-time (2 year) students: all other courses in the program have been passed, and the course Preparation Masterproject Software Engineering has been passed. For full-time (1 year) students: All courses of the first semester and the first block of the second semester have been passed. The course Preparation Masterproject Software Engineering also has been passed. Time period(s) Sem. 1Sem. 2 Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. M. Bruntinkdrs. H.L. Dekkersprof. dr. D.J.N. van Eijckprof.dr. P. Klintdr. T. van der Stormdr. V.V. Zaytsev (co-ordinator) Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   dr. M. Bruntink drs. H.L. Dekkers prof. dr. D.J.N. van Eijck prof.dr. P. Klint dr. T. van der Storm dr. V.V. Zaytsev (co-ordinator) Software Engineering Acquiring the ability to do research by designing, executing and reporting on a project in the area of software engineering research, Adding knowledge or gathering new evidence in the field of software engineering. Quality of the work as reported on in the thesis, Quality of the presentation given during the defense session.",2014-2015
Software Engineering,,2014-2015
Software Evolution,"Course catalogue number 5364SOEV6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Is part of Our objectives are three-fold. The first objective is to acquire an understanding and appreciation of the challenges posed by software maintenance and software evolution. The second objective is to learn about quality of architecture and source code and how it affects software maintenance and evolution. The final objective is to be able to select and also construct software analysis and software transformation tools to help obtain insight in software quality and to help improve software quality. The course ties in closely with paper writing sessions where the objectives are to learn from academic literature, to develop curiosity, and to improve argumentation and writing skills. This course is designed around lab sessions in which we study real and large (open-source) software systems, written in languages like C, Java, PHP or Ruby. We use Rascal -a programming language workbench, or meta programming language- to apply and build software metrics, software analyses, software visualisations and (if time permits) software transformations. See http://www.rascal-mpl.org. The student is supported with introductory courses and interactive lab sessions while learning this new language in the beginning. The course is supported by a series of lectures on the theory of software maintenance and evolution, and a guided study of a number of research papers about maintenance, reverse engineering, reengineering and renovation. Example topics are clone detection, mining software repositories and refactoring. During the course students all write a short, but in-depth, paper about one of these subjects (possibly supported by facts generated by the lab exercises). Advanced programming skills in several programming languages.Basic knowledge of compiler construction (parsing, ASTs, basic code analysis, etc.)Good (academic) English reading and writing skills Registration is required viahttps://www.sis.uva.nluntil four weeks before the start of the semester. The format is focused on practical skills via the lab exercises, such as exploring source code and building tools, and academic skills via the paper writing component. Every week we start with two hour lecture on the theory of software evolution, which is required to understand the material covered in the lab exercises. The rest of the day and the following day are lab hours. You also need two hours time every other week to prepare for the bi-weekly two-hour paper sessions. - http://www.rascal-mpl.org- reader consisting of material on software evolution- potentially other (academic) sources This course typically uses various types of assessment, that will be detailed at the start of the course:- lab assignments, assessed by demonstration and oral exam- online test to assess basic skills- paper/essay- exam In this course we use the experimental programming language Rascal, which is (beta) open-source software and new to most students. On top of that we dive into many new topics for the students. Therefore the lab time is designed to be an integral and interactive part of the teaching, where the lecturer and the students are both present. Course catalogue number 5364SOEV6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) dr. M. Bruntink (co-ordinator)dr. T. van der Storm Is part of Software Engineering Add course to planner Sem. 1 Sem. 2   dr. M. Bruntink (co-ordinator) dr. T. van der Storm Software Engineering",2014-2015
Software Engineering,"Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact drs. R. J. Kellermann Deibel Science Park 904 +31 20 5255856 The programme takes one academic year (60 credits), which awards a Master of Science degree in Software Engineering. There is also the possibility to do the MSc SE part-time. The part-time programme takes two years instead of one. The website of the MSc Software Enginering:Please refer tohttp://www.student.uva.nl/sefor all announcements and information on the MSc Software Engineering. The University of Amsterdam (UvA) uses the European credit system based on the European Credit Transfer System (ECTS). The general study load for students is 30 EC per semester. A full academic year of two semesters equals 60 EC. A semester term lasts 20 weeks with 3 periods: 2 periods of 8 weeks and a third period of 4 weeks. A student’s study load (both contact hours and hours spent studying and preparing for assignments) is measured in European Credits (EC). Under Dutch law 1 EC represents 28 hours of work and 60 EC represent one academic year of full-time study. This is equivalent to about 40 hours (28 hours per EC) per week. Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact drs. R. J. Kellermann DeibelScience Park 904+31 20 5255856 Programme DirectorSoftware Engineering dr. C.U. Grelck C.U.Grelck@uva.nl",2015-2016
Content,"The Master Software Engineering has as goal to familiarize students with the broad and dynamic field of software engineering. Software engineering projects are complex and there is no recipe that guarantees success. This one year master makes students better engineers and designers, enabling them to make a significant contribution to large software projects and research projects addressing big software engineering questions. Software engineering uses many results from computer science but distinguishes itself from classical computer science curricula with respect to the role of human factors, system size and volatility of requirements. These factors cause a high degree of uncertainty about the impact and validity of design decisions. What is good for performance can be detrimental for understand ability. As software engineers and researchers we strive to understand these trade offs and reduce dependencies. As change and conflicting stakes are omnipresent, software continuously needs to evolve. The software engineering domain in itself is in constant flux. Innovations in technology, design patterns and techniques are continuous. However, out-of-the-box solutions often have their specific limitations. We believe a good software engineer is like a good researcher. We intend to teach our students how to acquire relevant knowledge, how to improve making decisions, how to reflect on their current approach, how to learn to question their assumptions and how to assess their ideas. We expect students to have a solid technological basis and a fundamental understanding of computer science and software. From a technical perspective the curriculum covers software quality, specification-based automated testing, automatic code analysis, automatic code transformation and development of domain specific languages. Non-technical topics focus on how to develop a software architecture, on understanding issues in requirements engineering and on organizational aspects of software engineering. In the master there is a lot of interaction between students and staff. Students work on challenging assignments and get immediate feedback, stimulating rework, making the program very intensive.",2015-2016
The Software Engineering curriculum,The Master's Programme in Software Engineering is a one-year academic programme. The curriculum consists of a mandatory programme of 60 EC.,2015-2016
Software Engineering,"Full-time Programme Part-time programmeIn the part-time programme just one course is taken per period. You will spent in total around 20 hours a week, of which 1 or 2 days at university. Semester 1 Sem. 1 Sem. 2 EC sem.1-period 1:    Software Architecture   6 Software Testing   6 sem.1-period 2:    Requirements Engineering   6 Software Evolution   6 sem.1-period 1,2,3, and sem.2 period 4:    Preparation Masterproject Software Engineering   6 Semester 2    sem.2-period 4:    Software Process   6 Software Construction   6 sem.2-period 4,5,6:    Masterproject Software Engineering   18 First year Second year sem.1-period 1: sem.1-period 1: Software Architecture Software Testing ORSoftware Testing ORSoftware Architecture  sem.1-period 2: sem.1-period 2: Requirements Engineering Software Evolution ORSoftware Evolution ORRequirements Engineering   sem.1-period 3: sem.1-period 3: Preparation Masterproject Software Engineering Masterproject Software Engineering  sem.2-period 4: sem.2-period 4: Software Construction Software Construction ORSoftware Process ORSoftware Process  sem.1-period 1,2,3 and sem.2-period 4 sem.2-period 4,5,6: Preparation Masterproject Software Engineering Masterproject Software Engineering",2015-2016
The teaching staff,The content and curriculum of the master Software Engineering has been created by members of the SE teaching staff. The teaching staff consists of employees from: The core of the teaching staff of SE consists of: * coordinator Lecturer e-mail dr. M. Bruntink * M.Bruntink@uva.nl drs. H. Dekkers H.L.dekkers@uva.nl prof. dr. D.J.N. van Eijck (CWI-UvA) jan.van.eijck@cwi.nl dr R.L. Krikhaar R.L.Krikhaar@uva.nl drs. W. Leeuwis W.Leeuwis@uva.nl dr. T. van der Storm T.vanderStorm@uva.nl dr. V.V. Zaytsev V.V.Zaytsev@uva.nl the Instituut voor Informatica (IvI) of the FNWI; the Cluster Software Engineering ( http://www.cwi.nl/sen) of the 'Centrum voor Wiskunde en Informatica' (CWI-SEN); the Information management and SE department at the VU.,2015-2016
